Gel_A1	0.jpg	[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Gel_A1	1.jpg	[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Gel_A1	2.jpg	[1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
Gel_A1	3.jpg	[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Gel_A1	4.jpg	[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Gel_A1	5.jpg	[1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
Gel_A1	6.jpg	[1. 1. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0.]
Gel_A1	7.jpg	[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Gel_A1	8.jpg	[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]

Gel_A2	0.jpg	[1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
Gel_A2	1.jpg	[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Gel_A2	2.jpg	[1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
Gel_A2	3.jpg	[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Gel_A2	4.jpg	[1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
Gel_A2	5.jpg	[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Gel_A2	6.jpg	[1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1.]
Gel_A2	7.jpg	[1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1.]
Gel_A2	8.jpg	[1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]

Gel_A3	0.jpg	[1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0.]
Gel_A3	1.jpg	[1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1.]
Gel_A3	2.jpg	[1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
Gel_A3	3.jpg	[1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
Gel_A3	4.jpg	[1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1.]
Gel_A3	5.jpg	[1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
Gel_A3	8.jpg	[1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]

